apply	address	expected_name	expected_name_source	expected_type	expected_length	proposed_name	proposed_type	proposed_length	aggregate_id	confidence	evidence
0	00792CA0	DAT_00792ca0	DEFAULT	/undefined4	4			0	indexed_global_candidate	review	SIB scales={3=15, 4=8, 24=9, 8=8, 12=7}; sites=004BE6C0@004BE788 MOV AX,word ptr [EDX*0x8 + 0x792ca0] | 004BE6C0@004BE7A9 MOV EAX,dword ptr [EAX*0x8 + 0x792ca0] | 004C21A0@004C25B7 MOV EAX,dword ptr [ECX*0x8 + 0x792ca0] | 004C3020@004C3079 CMP dword ptr [EAX*0x8 + 0x792ca0],0x9a | 004C3020@004C3098 CMP dword ptr [EDX*0x8 + 0x792ca0],0xb0 | 004C3020@004C30B9 MOV EDX,dword ptr [ECX*0x8 + 0x792ca0] | 004C3570@004C396B MOV EDX,dword ptr [ECX*0x4 + 0x792ca0] | 004C3570@004C3A3B MOV EDX,dword ptr [EDX*0x8 + 0x792ca0] | 004C3C00@004C3F5C CMP dword ptr [EDX*0x4 + 0x792ca0],0xb0 | 004C3C00@004C3FF0 MOV EAX,dword ptr [EDX*0x4 + 0x792ca0] | 004C4550@004C4596 MOV EAX,dword ptr [ECX*0x4 + 0x792ca0] | 004C4550@004C4822 MOV EAX,dword ptr [EAX*0x4 + 0x792ca0]
0	0079A3FC	DAT_0079a3fc	DEFAULT	/undefined4	4			0	indexed_global_candidate	review	SIB scales={4=4, 60=4, 15=4}; sites=004BEA70@004C03D6 CMP dword ptr [EDX*0x4 + 0x79a3fc],EDI | 004BEA70@004C03ED LEA ECX,[EAX*0x4 + 0x79a3fc] | 004E3200@004E327D CMP dword ptr [EDX*0x4 + 0x79a3fc],EBX | 004E3200@004E3294 LEA EBX,[EAX*0x4 + 0x79a3fc]
1	0079AED0	g_centeredOffsets5	ANALYSIS	/int[5]	20	g_centeredOffsets5	array:5:/int	20	centered_offset_lookup	high	dword SIB lookup; exact centered sequence {2..0..-2}; indexed sites=40
0	007A1E94	DAT_007a1e94	DEFAULT	/undefined4	4			0	indexed_global_candidate	review	SIB scales={4=7}; sites=0075BA30@0075BCD4 MOV ECX,dword ptr [EBX*0x4 + 0x7a1e94] | 0075C440@0075C5C2 MOV EDX,dword ptr [ECX*0x4 + 0x7a1e94] | 0075C790@0075C90E LEA EDX,[EDX*0x4 + 0x7a1e94] | 0075C790@0075C923 LEA EDX,[EDX*0x4 + 0x7a1e94] | 0075C790@0075C93B LEA EDX,[EDX*0x4 + 0x7a1e94] | 0075C790@0075C9CC MOV ECX,dword ptr [ECX*0x4 + 0x7a1e94] | 0075C790@0075CA5B LEA ECX,[ECX*0x4 + 0x7a1e94]
0	007BF678	DAT_007bf678	DEFAULT	/undefined4	4			0	indexed_global_candidate	review	SIB scales={3=6, 4=6, 12=6}; sites=004BEA70@004C098F CMP dword ptr [EDX*0x4 + 0x7bf678],0x1 | 004BEA70@004C0CCD CMP dword ptr [ECX*0x4 + 0x7bf678],0x2 | 00518C20@00519964 MOV EDI,dword ptr [EDX*0x4 + 0x7bf678] | 00518C20@00519988 MOV EAX,dword ptr [ECX*0x4 + 0x7bf678] | 0051A100@0051ADC4 MOV EDI,dword ptr [EDX*0x4 + 0x7bf678] | 0051A100@0051ADE7 MOV EAX,dword ptr [ECX*0x4 + 0x7bf678]
0	007C30D8	DAT_007c30d8	DEFAULT	/undefined4	4			0	indexed_global_candidate	review	SIB scales={3=4, 4=4}; sites=0051DDD0@0051E04E LEA EAX,[EDI + ECX*0x4] | 0051DDD0@0051E0C9 LEA EAX,[ECX + EAX*0x4] | 0051DDD0@0051E55B LEA EAX,[EDI + ECX*0x4] | 0051DDD0@0051E5E7 LEA EAX,[ECX + EAX*0x4]
0	007C8884	DAT_007c8884	DEFAULT	/undefined2	2			0	indexed_global_candidate	review	SIB scales={2=3}; sites=005537D0@005537E7 CMP CX,word ptr [EDX*0x2 + 0x7c8884] | 005537D0@005537FD MOV DX,word ptr [EDX*0x2 + 0x7c8884] | 00553840@00553857 CMP CX,word ptr [EDX*0x2 + 0x7c8884]
0	007C9614	DAT_007c9614	DEFAULT	/undefined4	4			0	indexed_global_candidate	review	SIB scales={4=3}; sites=0055F410@0055FF4C CMP EDI,dword ptr [EAX*0x4 + 0x7c9614] | 00562F50@00563379 CMP EDX,dword ptr [EAX*0x4 + 0x7c9614] | 00562F50@005633B3 CMP ECX,dword ptr [EAX*0x4 + 0x7c9614]
0	007C9618	DAT_007c9618	DEFAULT	/undefined4	4			0	indexed_global_candidate	review	SIB scales={4=3}; sites=0055F410@0055FF4C CMP EDI,dword ptr [EAX*0x4 + 0x7c9614] | 00562F50@00563379 CMP EDX,dword ptr [EAX*0x4 + 0x7c9614] | 00562F50@005633B3 CMP ECX,dword ptr [EAX*0x4 + 0x7c9614]
0	007CEA04	DAT_007cea04	DEFAULT	/undefined4	4			0	indexed_global_candidate	review	SIB scales={4=3}; sites=005FE360@005FE441 MOV EBX,dword ptr [EAX*0x4 + 0x7ce9c8] | 005FE360@005FE490 MOV EDI,dword ptr [EAX*0x4 + 0x7ce9c8] | 005FE360@005FE4CD MOV EDX,dword ptr [EAX*0x4 + 0x7ce9c8]
0	007DF808	DAT_007df808	DEFAULT	/undefined2	2			0	indexed_global_candidate	review	SIB scales={2=4}; sites=006A1070@006A107C CMP CX,word ptr [EDX*0x2 + 0x7df808] | 006A1070@006A1092 MOV DX,word ptr [EDX*0x2 + 0x7df808] | 006A10C0@006A10CC CMP CX,word ptr [EDX*0x2 + 0x7df808] | 006A17B0@006A18F8 AND DX,word ptr [ECX*0x2 + 0x7df808]
0	007E6024	DAT_007e6024	DEFAULT	/undefined4	4			0	indexed_global_candidate	review	SIB scales={4=1, 20=3, 5=1}; sites=004DDCC0@004DDCF4 IMUL EDI,dword ptr [EAX + 0x7e6024] | 004DDD50@004DDEAD MOV EAX,dword ptr [EBX + 0x7e6024] | 0051B5A0@0051BAA6 MOV ESI,dword ptr [EDX*0x4 + 0x7e6024]
0	007ED534	DAT_007ed534	DEFAULT	/undefined4	4			0	indexed_global_candidate	review	SIB scales={4=19}; sites=0040AE40@0040B4DC MOV EAX,dword ptr [EDX + EAX*0x4] | 0060EF40@0060F454 MOV DI,word ptr [EBX + EDI*0x4] | 0060EF40@0060F5AB MOV DX,word ptr [ECX + EDX*0x4] | 006A8270@006A85FC CMP dword ptr [EAX + ECX*0x4],0x5 | 006A8270@006A873B MOV EAX,dword ptr [EDI + EAX*0x4] | 006A8270@006A875F MOV EAX,dword ptr [EDI + EDX*0x4] | 006A8270@006A882B MOV EAX,dword ptr [ECX + EAX*0x4] | 006A8270@006A885D MOV EAX,dword ptr [ECX + EAX*0x4] | 006A88F0@006A8C9D CMP dword ptr [EAX + ECX*0x4],0x5 | 006A88F0@006A8FB1 MOV EAX,dword ptr [EDI + EAX*0x4] | 006A88F0@006A8FD2 MOV EAX,dword ptr [EDI + EDX*0x4] | 006A88F0@006A90BA MOV ECX,dword ptr [ECX + EAX*0x4]
0	007ED640	DAT_007ed640	DEFAULT	/undefined4	4			0	indexed_global_candidate	review	SIB scales={4=13}; sites=0040AE40@0040B4E4 MOV EAX,dword ptr [EAX*0x4 + 0x7ed640] | 0040C080@0040C930 ADD ECX,dword ptr [EDX*0x4 + 0x7ed640] | 006A7D50@006A816C MOV EDI,dword ptr [EAX*0x4 + 0x7ed640] | 006A7D50@006A81EA MOV AX,word ptr [EAX*0x4 + 0x7ed640] | 006A8270@006A8835 MOV ECX,dword ptr [EAX*0x4 + 0x7ed640] | 006A8270@006A886C MOV EBX,dword ptr [EAX*0x4 + 0x7ed640] | 006A88F0@006A8E6B MOV ESI,dword ptr [EAX*0x4 + 0x7ed640] | 006A88F0@006A8EDE MOV DI,word ptr [EDI*0x4 + 0x7ed640] | 006A88F0@006A90C4 MOV EAX,dword ptr [ECX*0x4 + 0x7ed640] | 006A88F0@006A917B ADD EAX,dword ptr [ECX*0x4 + 0x7ed640] | 006A9190@006AA845 ADD EBX,dword ptr [EDX*0x4 + 0x7ed640] | 006A9190@006AAB1D MOV ECX,dword ptr [EAX*0x4 + 0x7ed640]
0	007F1234	DAT_007f1234	DEFAULT	/undefined4	4			0	indexed_global_candidate	review	SIB scales={12=6}; sites=0072F260@0072F2A6 MOV EAX,dword ptr [EDX + 0x7f1234] | 0072F260@0072F511 MOV ECX,dword ptr [EAX + 0x7f1234] | 0072F5D0@0072F646 MOV ECX,dword ptr [EAX + 0x7f1234] | 0072F5D0@0072F698 MOV dword ptr [ECX + 0x7f1234],EAX | 0072F5D0@0072F70E MOV dword ptr [EAX + 0x7f1234],ECX | 0072F5D0@0072F759 MOV EAX,dword ptr [ECX + 0x7f1234]
1	007F4D3C	g_runtimeRecords_007F4D3C	ANALYSIS	/SubmarineTitans/Recovered/GlobalAggregates/RuntimeRecord_007F4D3C_0014 *32	4	g_runtimeRecords_007F4D3C	pointer:record:/SubmarineTitans/Recovered/GlobalAggregates/RuntimeRecord_007F4D3C_0014@20{0,field_0000,/int|4,field_0004,/int|8,field_0008,/int|12,field_000C,/int|16,field_0010,/int}	4	runtime_record_pointer	high	runtime pointer indexed with unique affine stride=0x14; fields=5; functions=9; sites=117; reads=42; writes=75; index_global=007F4D14
1	007F4D74	g_runtimeRecords_007F4D74	ANALYSIS	/SubmarineTitans/Recovered/GlobalAggregates/RuntimeRecord_007F4D74_0010 *32	4	g_runtimeRecords_007F4D74	pointer:record:/SubmarineTitans/Recovered/GlobalAggregates/RuntimeRecord_007F4D74_0010@16{0,field_0000,/int|4,field_0004,/int|8,field_0008,/int|12,field_000C,/int}	4	runtime_record_pointer	high	runtime pointer indexed with unique affine stride=0x10; fields=4; functions=2; sites=44; reads=33; writes=11
